Alabama,-62.90,-915.83,261.67,-8.14,2522.71,262.28
Arizona,-217.73,186.41,927.84,305.29,4997.61,544.52
Arkansas,13.98,-19.15,-2.06,-173.35,NULL,-15.17
California,3863.49,5350.68,3225.80,1065.45,8637.61,3737.39
Colorado,769.12,316.83,-3352.76,221.87,837.25,365.43
Connecticut,103.39,-358.98,198.82,210.83,496.75,-714.69
Delaware,48.55,1558.27,67.19,412.89,57.49,161.39
District of Columbia,NULL,NULL,NULL,NULL,NULL,NULL
Florida,650.98,577.41,109.26,841.80,-211.71,802.04
Georgia,536.47,99.32,2244.35,881.28,493.77,117.36
Illinois,1048.88,2373.40,1018.93,-401.19,1112.85,-31.95
Indiana,908.46,196.05,227.34,185.47,262.28,113.42
Iowa,6.08,NULL,NULL,635.54,21.78,383.95
Kansas,NULL,NULL,-52.07,NULL,NULL,26.99
Kentucky,279.76,122.16,341.06,320.17,698.38,140.54
Louisiana,1201.73,217.77,NULL,152.99,92.97,7.58
Maryland,33.59,110.05,14.86,4.91,21.29,NULL
Massachusetts,-5.96,1288.43,112.31,106.78,2608.06,27.44
Michigan,278.77,1847.77,450.20,46.13,952.00,391.41
Minnesota,1654.10,307.44,406.73,552.23,-45.72,132.12
Mississippi,535.85,342.99,23.86,366.07,617.74,-1.59
Missouri,633.38,760.65,-312.83,157.47,NULL,-82.95
Nebraska,357.77,NULL,208.82,32.17,20.75,27.90
Nevada,170.88,NULL,25.58,NULL,NULL,NULL
New Hampshire,NULL,NULL,13.32,NULL,435.08,NULL
New Jersey,-365.29,225.48,398.46,17.65,190.94,745.51
New Mexico,148.09,82.84,-9.56,346.06,18.57,21.75
New York,8294.24,4500.47,3122.04,9753.60,2164.41,2699.59
North Carolina,-5958.82,1708.09,1250.41,382.61,-6229.15,1571.55
Ohio,1585.15,535.65,-11.63,-100.12,1690.34,1401.51
Oklahoma,187.16,142.63,NULL,149.90,243.10,3.50
Oregon,8.43,341.47,50.12,NULL,-255.46,NULL
Pennsylvania,3063.38,-183.11,1014.63,443.16,2842.66,-1246.31
Rhode Island,54.60,410.79,22.11,13.06,189.65,776.14
South Dakota,55.44,329.94,59.04,NULL,NULL,-8.32
Tennessee,-78.76,423.95,232.97,380.75,144.00,65.47
Texas,6096.26,1360.07,1671.08,2392.66,1513.24,1765.79
Utah,-890.83,-66.86,53.82,-211.02,179.92,696.30
Virginia,551.82,-303.16,285.95,73.16,160.03,466.00
Washington,1738.93,1050.89,1173.44,1130.77,9182.83,167.62
Wisconsin,150.44,2064.45,28.32,2817.31,1475.93,302.12
